Id,gid
7,257094
7,257095
7,257096
7,257809
7,257810
7,257811
7,257812
7,257813
7,257814
7,257815
7,257816
7,258529
7,258530
7,258531
7,258532
7,258533
7,258534
7,258535
7,258536
8,253497
8,253498
8,253499
8,253500
8,253501
8,253502
8,253503
8,253504
8,254217
8,254218
8,254219
8,254220
8,254221
8,254222
8,254223
8,254224
8,254937
8,254938
8,254939
8,254940
8,254941
8,254942
8,254943
8,254944
8,255657
8,255658
8,255659
8,255660
8,255661
8,255662
8,255663
8,255664
8,256377
8,256378
8,256379
8,256380
8,256381
8,256382
8,256383
8,256384
8,257097
8,257098
8,257099
8,257100
8,257101
8,257102
8,257103
8,257104
8,257817
8,257818
8,257819
8,257820
8,257821
8,257822
8,257823
8,257824
8,258537
8,258538
8,258539
8,258540
8,258541
8,258542
8,258543
8,258544
9,253505
9,253506
9,253507
9,253508
9,253509
9,253510
9,253511
9,253512
9,254225
9,254226
9,254227
9,254228
9,254229
9,254230
9,254231
9,254232
9,254945
9,254946
9,254947
9,254948
9,254949
9,254950
9,254951
9,254952
9,255665
9,255666
9,255667
9,255668
9,255669
9,255670
9,255671
9,255672
9,256385
9,256386
9,256387
9,256388
9,256389
9,256390
9,256391
9,256392
9,257105
9,257106
9,257107
9,257108
9,257109
9,257110
9,257111
9,257112
9,257825
9,257826
9,257827
9,257828
9,257829
9,257830
9,257831
9,257832
9,258545
9,258546
9,258547
9,258548
9,258549
9,258550
9,258551
9,258552
10,253513
10,253514
10,253515
10,253516
10,253517
10,253518
10,253519
10,253520
10,254233
10,254234
10,254235
10,254236
10,254237
10,254238
10,254239
10,254240
10,254953
10,254954
10,254955
10,254956
10,254957
10,254958
10,254959
10,254960
10,255673
10,255674
10,255675
10,255676
10,255677
10,255678
10,255679
10,255680
10,256393
10,256394
10,256395
10,256396
10,256397
10,256398
10,256399
10,256400
10,257113
10,257114
10,257115
10,257116
10,257117
10,257118
10,257119
10,257120
10,257833
10,257834
10,257835
10,257836
10,257837
10,257838
10,257839
10,257840
10,258553
10,258554
10,258555
10,258556
10,258557
10,258558
10,258559
10,258560
11,253521
11,253522
11,253523
11,253524
11,253525
11,253526
11,253527
11,253528
11,254241
11,254242
11,254243
11,254244
11,254245
11,254246
11,254247
11,254248
11,254961
11,254962
11,254963
11,254964
11,254965
11,254966
11,254967
11,254968
11,255681
11,255682
11,255683
11,255684
11,255685
11,255686
11,255687
11,255688
11,256401
11,256402
11,256403
11,256404
11,256405
11,256406
11,256407
11,256408
11,257121
11,257122
11,257123
11,257124
11,257125
11,257126
11,257127
11,257128
11,257841
11,257842
11,257843
11,257844
11,257845
11,257846
11,257847
11,257848
11,258561
11,258562
11,258563
11,258564
11,258565
11,258566
11,258567
11,258568
12,253529
12,253530
12,253531
12,253532
12,253533
12,253534
12,253535
12,253536
12,254249
12,254250
12,254251
12,254252
12,254253
12,254254
